id_participacao,id_jogador,id_selecao,ano_copa,linha_campo,posicao_especifica,clube_no_ano,capitao,clube_pais,lado_campo,titular,gols_na_copa,expulso_ou_suspenso,artilheiro_destaque,faixa_etaria
50,49,1,1938,Meio-campista,Meio-campista,Corinthians,Não,Brasil,Esquerdo,Sim,0,Não,Não,Sub-23
51,50,1,1938,Meio-campista,Meio-campista,América-RJ,Não,Brasil,Centro,Sim,0,Não,Não,Auge
52,51,1,1938,Meio-campista,Meio-campista,Botafogo,Não,Brasil,Direito,Sim,0,Não,Não,Auge
53,52,1,1938,Atacante,Atacante,Botafogo,Não,Brasil,Esquerdo,Sim,3,Não,Não,Sub-23
54,53,1,1938,Atacante,Meia-atacante,Fluminense,Não,Brasil,Direito,Sim,0,Não,Não,Auge
55,54,1,1938,Atacante,Atacante,Fluminense,Não,Brasil,Centro,Sim,0,Não,Não,Auge
56,55,1,1938,Atacante,Ponta,Fluminense,Não,Brasil,Esquerdo,Sim,2,Não,Não,Auge
57,56,1,1938,Atacante,Ponta,São Cristóvão,Não,Brasil,Direito,Sim,1,Não,Não,Auge
58,57,1,1938,Atacante,Centroavante,Vasco da Gama,Não,Brasil,Centro,Não,0,Não,Não,Auge
59,32,1,1938,Meio-campista,Meio-campista,Botafogo,Sim,Brasil,Direito,Sim,0,Não,Não,Auge
60,36,1,1938,Atacante,Centroavante,Flamengo,Não,Brasil,Centro,Sim,7,Sim,Sim,Auge
61,37,1,1938,Atacante,Atacante,Estudantes Paulista,Não,Brasil,Direito,Sim,0,Não,Não,Auge
62,38,1,1938,Atacante,Ponta,Botafogo,Não,Brasil,Esquerdo,Sim,1,Não,Não,Auge
63,58,1,1950,Goleiro,Goleiro,Vasco da Gama,Não,Brasil,Centro,Sim,0,Não,Não,Auge
64,59,1,1950,Goleiro,Goleiro,Fluminense,Não,Brasil,Centro,Não,0,Não,Não,Auge
65,60,1,1950,Defensor,Zagueiro,Vasco da Gama,Sim,Brasil,Direito,Sim,0,Não,Não,Experiente
66,61,1,1950,Defensor,Zagueiro,Flamengo,Não,Brasil,Centro,Sim,0,Não,Não,Auge
67,62,1,1950,Defensor,Zagueiro,Internacional,Não,Brasil,Centro,Não,0,Não,Não,Auge
68,63,1,1950,Defensor,Lateral,Botafogo,Não,Brasil,Esquerdo,Sim,0,Não,Não,Auge
69,64,1,1950,Defensor,Lateral,Fluminense,Não,Brasil,Esquerdo,Não,0,Não,Não,Auge
70,65,1,1950,Meio-campista,Meio-campista,Vasco da Gama,Não,Brasil,Direito,Sim,0,Não,Não,Auge
71,66,1,1950,Meio-campista,Meio-campista,Vasco da Gama,Não,Brasil,Centro,Sim,0,Não,Não,Experiente
72,67,1,1950,Meio-campista,Meio-campista,São Paulo,Não,Brasil,Direito,Sim,0,Não,Não,Auge
73,68,1,1950,Meio-campista,Meio-campista,São Paulo,Não,Brasil,Centro,Não,0,Não,Não,Experiente
74,69,1,1950,Meio-campista,Meio-campista,São Paulo,Não,Brasil,Esquerdo,Não,0,Não,Não,Experiente
75,70,1,1950,Meio-campista,Meio-campista,Vasco da Gama,Não,Brasil,Esquerdo,Sim,0,Não,Não,Experiente
76,71,1,1950,Atacante,Meia-atacante,Bangu,Não,Brasil,Direito,Sim,2,Não,Não,Auge
77,72,1,1950,Atacante,Centroavante,Vasco da Gama,Não,Brasil,Centro,Sim,9,Não,Sim,Auge
78,73,1,1950,Atacante,Meia-atacante,Palmeiras,Não,Brasil,Esquerdo,Sim,2,Não,Não,Auge
79,74,1,1950,Atacante,Ponta,Vasco da Gama,Não,Brasil,Esquerdo,Sim,4,Não,Não,Auge
80,75,1,1950,Atacante,Ponta,São Paulo,Não,Brasil,Direito,Sim,0,Não,Não,Auge
81,76,1,1950,Atacante,Atacante,Vasco da Gama,Não,Brasil,Direito,Sim,2,Não,Não,Auge
82,77,1,1950,Atacante,Centroavante,Corinthians,Não,Brasil,Centro,Não,0,Não,Não,Auge
83,78,1,1950,Atacante,Ponta,Palmeiras,Não,Brasil,Esquerdo,Sim,2,Não,Não,Auge
84,79,1,1950,Atacante,Centroavante,Internacional,Não,Brasil,Centro,Sim,0,Não,Não,Auge
85,59,1,1954,Goleiro,Goleiro,Fluminense,Não,Brasil,Centro,Sim,0,Não,Não,Auge
86,80,1,1954,Goleiro,Goleiro,Fluminense,Não,Brasil,Direito,Sim,1,Não,Não,Auge
87,81,1,1954,Goleiro,Goleiro,Corinthians,Não,Brasil,Centro,Sim,0,Não,Não,Auge
88,82,1,1954,Defensor,Lateral,Portuguesa,Não,Brasil,Centro,Sim,0,Não,Não,Auge
89,63,1,1954,Defensor,Lateral,Botafogo,Não,Brasil,Esquerdo,Sim,1,Sim,Não,Auge
90,83,1,1954,Defensor,Zagueiro,Fluminense,Não,Brasil,Centro,Sim,0,Não,Não,Sub-23
91,84,1,1954,Defensor,Zagueiro,São Paulo,Não,Brasil,Direito,Sim,0,Não,Não,Auge
92,85,1,1954,Defensor,Lateral,São Paulo,Não,Brasil,Centro,Sim,0,Não,Não,Experiente
93,86,1,1954,Defensor,Lateral,Vasco da Gama,Não,Brasil,Esquerdo,Sim,0,Não,Não,Sub-23
94,67,1,1954,Meio-campista,Meio-campista,São Paulo,Sim,Brasil,Direito,Sim,0,Não,Não,Auge
95,87,1,1954,Meio-campista,Meio-campista,Fluminense,Não,Brasil,Esquerdo,Sim,2,Não,Sim,Auge
96,65,1,1954,Meio-campista,Meio-campista,Vasco da Gama,Não,Brasil,Centro,Não,0,Não,Não,Experiente
97,88,1,1954,Meio-campista,Meio-campista,Flamengo,Não,Brasil,Centro,Sim,0,Sim,Não,Auge
98,89,1,1954,Defensor,Zagueiro,Portuguesa,Não,Brasil,Centro,Não,0,Não,Não,Auge
99,90,1,1954,Atacante,Ponta,Portuguesa,Não,Brasil,Centro,Não,2,Não,Sim,Auge
100,91,1,1954,Atacante,Centroavante,Corinthians,Não,Brasil,Direito,Não,0,Não,Não,Auge
101,92,1,1954,Atacante,Centroavante,Palmeiras,Não,Brasil,Esquerdo,Não,0,Não,Não,Sub-23
102,93,1,1954,Atacante,Ponta,São Paulo,Não,Brasil,Centro,Não,0,Não,Não,Sub-23
103,94,1,1954,Atacante,Meia-atacante,Vasco da Gama,Não,Brasil,Centro,Não,2,Não,Sim,Experiente
104,95,1,1954,Atacante,Centroavante,Flamengo,Não,Brasil,Centro,Não,0,Não,Não,Auge
105,96,1,1954,Atacante,Meia-atacante,Flamengo,Não,Brasil,Direito,Não,0,Não,Não,Auge
106,97,1,1954,Atacante,Ponta,Palmeiras,Não,Brasil,Centro,Não,0,Não,Não,Auge
107,59,1,1958,Goleiro,Goleiro,Fluminense,Não,Brasil,Centro,Não,0,Não,Não,Experiente
108,98,1,1958,Goleiro,Goleiro,Corinthians,Não,Brasil,Centro,Sim,0,Não,Não,Auge
109,82,1,1958,Defensor,Lateral,Portuguesa,Não,Brasil,Centro,Não,0,Não,Não,Auge
110,63,1,1958,Defensor,Lateral,Botafogo,Não,Brasil,Esquerdo,Sim,1,Não,Não,Experiente
111,99,1,1958,Defensor,Zagueiro,Vasco da Gama,Sim,Brasil,Centro,Sim,0,Não,Não,Auge
112,84,1,1958,Defensor,Zagueiro,São Paulo,Não,Brasil,Centro,Não,0,Não,Não,Auge
113,100,1,1958,Defensor,Zagueiro,Vasco da Gama,Não,Brasil,Centro,Sim,0,Não,Não,Auge
114,101,1,1958,Defensor,Lateral,Corinthians,Não,Brasil,Centro,Sim,0,Não,Não,Sub-23
115,102,1,1958,Defensor,Zagueiro,Bangu,Não,Brasil,Centro,Sim,0,Não,Não,Auge
116,87,1,1958,Meio-campista,Meio-campista,Botafogo,Não,Brasil,Centro,Não,0,Não,Não,Experiente
117,103,1,1958,Meio-campista,Volante,São Paulo,Não,Brasil,Direito,Sim,0,Não,Não,Auge
118,104,1,1958,Meio-campista,Meio-campista,Flamengo,Não,Brasil,Direito,Sim,0,Não,Não,Sub-23
119,105,1,1958,Meio-campista,Volante,Santos,Não,Brasil,Centro,Sim,0,Não,Não,Auge
120,106,1,1958,Atacante,Ponta,Botafogo,Não,Brasil,Centro,Sim,1,Não,Não,Auge
121,107,1,1958,Atacante,Centroavante,Santos,Não,Brasil,Centro,Sim,6,Não,Sim,Sub-23
122,108,1,1958,Atacante,Ponta,Botafogo,Não,Brasil,Centro,Sim,0,Não,Não,Auge
123,109,1,1958,Atacante,Centroavante,Palmeiras,Não,Brasil,Esquerdo,Sim,3,Não,Não,Sub-23
124,110,1,1958,Atacante,Centroavante,Vasco da Gama,Não,Brasil,Centro,Não,5,Não,Não,Auge
125,111,1,1958,Atacante,Ponta,Flamengo,Não,Brasil,Esquerdo,Não,0,Não,Não,Auge
126,112,1,1958,Atacante,Meia-atacante,Flamengo,Não,Brasil,Centro,Não,0,Não,Não,Auge
127,113,1,1958,Atacante,Ponta,Santos,Não,Brasil,Esquerdo,Não,0,Não,Não,Auge
128,98,1,1962,Goleiro,Goleiro,Santos,Não,Brasil,Centro,Sim,0,Não,Não,Experiente
129,114,1,1962,Goleiro,Goleiro,Fluminense,Não,Brasil,Centro,Sim,0,Não,Não,Experiente
130,82,1,1962,Defensor,Lateral,Palmeiras,Não,Brasil,Centro,Não,0,Não,Não,Experiente
131,63,1,1962,Defensor,Lateral,Botafogo,Não,Brasil,Esquerdo,Sim,0,Não,Não,Experiente
132,99,1,1962,Defensor,Zagueiro,Vasco da Gama,Não,Brasil,Centro,Não,0,Não,Não,Experiente
133,84,1,1962,Defensor,Zagueiro,Santos,Sim,Brasil,Centro,Não,0,Não,Não,Experiente
134,102,1,1962,Defensor,Zagueiro,Bangu,Não,Brasil,Centro,Não,0,Não,Não,Experiente
135,115,1,1962,Defensor,Lateral,Fluminense,Não,Brasil,Direito,Não,0,Não,Não,Auge
136,116,1,1962,Defensor,Zagueiro,Fluminense,Não,Brasil,Esquerdo,Não,0,Não,Não,Auge
137,101,1,1962,Defensor,Lateral,Corinthians,Não,Brasil,Centro,Sim,0,Não,Não,Auge
138,117,1,1962,Defensor,Zagueiro,São Paulo,Não,Brasil,Centro,Não,0,Não,Não,Sub-23
139,87,1,1962,Meio-campista,Meio-campista,Botafogo,Não,Brasil,Centro,Não,0,Não,Não,Experiente
140,105,1,1962,Meio-campista,Volante,Santos,Não,Brasil,Centro,Não,1,Não,Não,Experiente
141,103,1,1962,Meio-campista,Volante,Boca Juniors (Argentina),Não,Argentina,Direito,Sim,0,Não,Não,Experiente
142,118,1,1962,Meio-campista,Meio-campista,Santos,Não,Brasil,Centro,Não,0,Não,Não,Auge
143,106,1,1962,Atacante,Ponta,Botafogo,Não,Brasil,Centro,Sim,1,Não,Não,Experiente
144,107,1,1962,Atacante,Centroavante,Santos,Não,Brasil,Centro,Sim,1,Não,Não,Sub-23
145,108,1,1962,Atacante,Ponta,Botafogo,Não,Brasil,Centro,Sim,4,Sim,Sim,Auge
146,110,1,1962,Atacante,Centroavante,Palmeiras,Não,Brasil,Centro,Não,4,Não,Sim,Auge
147,113,1,1962,Atacante,Ponta,Santos,Não,Brasil,Esquerdo,Não,0,Não,Não,Auge
148,119,1,1962,Atacante,Atacante,Botafogo,Não,Brasil,Centro,Não,3,Não,Não,Sub-23
149,120,1,1962,Atacante,Centroavante,Santos,Não,Brasil,Centro,Não,0,Não,Não,Sub-23
150,121,1,1962,Atacante,Ponta,Portuguesa,Não,Brasil,Centro,Não,0,Não,Não,Sub-23
151,98,1,1966,Goleiro,Goleiro,Santos,Não,Brasil,Centro,Sim,0,Não,Não,Experiente
152,122,1,1966,Goleiro,Goleiro,Botafogo,Não,Brasil,Centro,Não,0,Não,Não,Auge
153,82,1,1966,Defensor,Lateral,Palmeiras,Não,Brasil,Centro,Não,0,Não,Não,Experiente
154,99,1,1966,Defensor,Zagueiro,São Paulo,Sim,Brasil,Centro,Não,0,Não,Não,Experiente
155,123,1,1966,Defensor,Zagueiro,Vasco da Gama,Não,Brasil,Centro,Sim,0,Não,Não,Auge
156,116,1,1966,Defensor,Zagueiro,Fluminense,Não,Brasil,Centro,Sim,0,Não,Não,Auge
157,124,1,1966,Defensor,Lateral,Bangu,Não,Brasil,Direito,Sim,0,Não,Não,Sub-23
158,100,1,1966,Defensor,Zagueiro,Santos,Não,Brasil,Centro,Não,0,Não,Não,Experiente
159,125,1,1966,Defensor,Lateral,Botafogo,Não,Brasil,Centro,Sim,1,Não,Sim,Auge
160,105,1,1966,Meio-campista,Volante,Santos,Não,Brasil,Centro,Não,0,Não,Não,Experiente
161,126,1,1966,Meio-campista,Meio-campista,Botafogo,Não,Brasil,Centro,Sim,0,Não,Não,Auge
162,127,1,1966,Meio-campista,Volante,Fluminense,Não,Brasil,Esquerdo,Sim,0,Não,Não,Auge
163,128,1,1966,Meio-campista,Meio-campista,Santos,Não,Brasil,Centro,Sim,0,Não,Não,Auge
164,107,1,1966,Atacante,Centroavante,Santos,Não,Brasil,Centro,Sim,1,Não,Sim,Auge
165,108,1,1966,Atacante,Ponta,Corinthians,Não,Brasil,Centro,Não,1,Não,Sim,Experiente
166,129,1,1966,Atacante,Ponta,Botafogo,Não,Brasil,Centro,Sim,0,Não,Não,Sub-23
167,130,1,1966,Atacante,Centroavante,Grêmio,Não,Brasil,Centro,Sim,0,Não,Não,Sub-23
168,131,1,1966,Atacante,Centroavante,Flamengo,Não,Brasil,Direito,Sim,0,Não,Não,Auge
169,132,1,1966,Atacante,Ponta,Santos,Não,Brasil,Centro,Sim,0,Não,Não,Sub-23
170,133,1,1966,Atacante,Ponta,São Paulo,Não,Brasil,Centro,Sim,0,Não,Não,Auge
171,134,1,1966,Atacante,Atacante,Cruzeiro,Não,Brasil,Centro,Sim,1,Não,Sim,Sub-23
172,135,1,1966,Atacante,Ponta,Palmeiras,Não,Brasil,Esquerdo,Sim,0,Não,Não,Auge
173,136,1,1970,Goleiro,Goleiro,Fluminense,Não,Brasil,Centro,Sim,0,Não,Não,Experiente
174,137,1,1970,Goleiro,Goleiro,Corinthians,Não,Brasil,Centro,Não,0,Não,Não,Auge
175,138,1,1970,Goleiro,Goleiro,Palmeiras,Não,Brasil,Centro,Não,0,Não,Não,Sub-23
176,139,1,1970,Defensor,Lateral,Santos,Sim,Brasil,Direito,Sim,1,Não,Não,Auge
177,123,1,1970,Defensor,Zagueiro,Flamengo,Não,Brasil,Centro,Sim,0,Não,Não,Experiente
178,140,1,1970,Defensor,Zagueiro,Cruzeiro,Não,Brasil,Centro,Sim,0,Não,Não,Auge
179,141,1,1970,Defensor,Lateral,Grêmio,Não,Brasil,Esquerdo,Sim,0,Não,Não,Auge
180,142,1,1970,Defensor,Lateral,Fluminense,Não,Brasil,Esquerdo,Sim,0,Não,Não,Sub-23
181,143,1,1970,Defensor,Zagueiro,Palmeiras,Não,Brasil,Centro,Não,0,Não,Não,Auge
182,144,1,1970,Defensor,Zagueiro,Cruzeiro,Não,Brasil,Centro,Não,0,Não,Não,Experiente
183,145,1,1970,Defensor,Zagueiro,Santos,Não,Brasil,Centro,Não,0,Não,Não,Auge
184,146,1,1970,Defensor,Lateral,Portuguesa,Não,Brasil,Direito,Não,0,Não,Não,Sub-23
185,147,1,1970,Meio-campista,Volante,Santos,Não,Brasil,Centro,Sim,1,Não,Não,Sub-23
186,126,1,1970,Meio-campista,Meio-campista,São Paulo,Não,Brasil,Centro,Sim,1,Não,Não,Auge
187,148,1,1970,Meio-campista,Meio-campista,Corinthians,Não,Brasil,Esquerdo,Sim,3,Não,Não,Auge
188,149,1,1970,Meio-campista,Meio-campista,Botafogo,Não,Brasil,Esquerdo,Sim,0,Não,Não,Sub-23
189,107,1,1970,Atacante,Atacante,Santos,Não,Brasil,Centro,Sim,4,Não,Não,Experiente
190,129,1,1970,Atacante,Ponta,Botafogo,Não,Brasil,Direito,Sim,7,Não,Sim,Auge
191,134,1,1970,Atacante,Centroavante,Cruzeiro,Não,Brasil,Centro,Sim,2,Não,Não,Auge
192,132,1,1970,Atacante,Ponta,Santos,Não,Brasil,Esquerdo,Não,0,Não,Não,Sub-23
193,150,1,1970,Atacante,Centroavante,Botafogo,Não,Brasil,Centro,Sim,0,Não,Não,Auge
194,151,1,1970,Atacante,Centroavante,Atlético Mineiro,Não,Brasil,Centro,Não,0,Não,Não,Auge
195,138,1,1974,Goleiro,Goleiro,Palmeiras,Não,Brasil,Centro,Sim,0,Não,Não,Auge
196,136,1,1974,Goleiro,Goleiro,Fluminense,Não,Brasil,Centro,Não,0,Não,Não,Experiente
197,152,1,1974,Goleiro,Goleiro,Botafogo,Não,Brasil,Centro,Não,0,Não,Não,Auge
198,153,1,1974,Goleiro,Goleiro,Flamengo,Não,Brasil,Centro,Não,0,Não,Não,Experiente
199,154,1,1974,Defensor,Zagueiro,Santos,Sim,Brasil,Centro,Sim,0,Não,Não,Auge
200,155,1,1974,Defensor,Zagueiro,Palmeiras,Não,Brasil,Centro,Sim,0,Sim,Não,Auge
201,156,1,1974,Defensor,Lateral,Cruzeiro,Não,Brasil,Direito,Sim,0,Não,Não,Auge
202,157,1,1974,Defensor,Lateral,Corinthians,Não,Brasil,Direito,Sim,0,Não,Não,Auge
203,158,1,1974,Defensor,Lateral,Botafogo,Não,Brasil,Esquerdo,Sim,0,Não,Não,Sub-23
204,142,1,1974,Defensor,Lateral,Fluminense,Não,Brasil,Esquerdo,Não,0,Não,Não,Auge
205,159,1,1974,Defensor,Zagueiro,Palmeiras,Não,Brasil,Centro,Não,0,Não,Não,Auge
206,140,1,1974,Meio-campista,Volante,Cruzeiro,Não,Brasil,Centro,Sim,0,Não,Não,Experiente
207,147,1,1974,Meio-campista,Volante,Santos,Não,Brasil,Centro,Não,0,Não,Não,Auge
208,160,1,1974,Meio-campista,Volante,Internacional,Não,Brasil,Centro,Não,0,Não,Não,Auge
209,161,1,1974,Meio-campista,Meio-campista,Palmeiras,Não,Brasil,Centro,Sim,0,Não,Não,Experiente
210,162,1,1974,Meio-campista,Meio-campista,Internacional,Não,Brasil,Centro,Sim,0,Não,Não,Auge
211,148,1,1974,Meio-campista,Meio-campista,Corinthians,Não,Brasil,Centro,Sim,3,Não,Sim,Auge
212,149,1,1974,Meio-campista,Meio-campista,Flamengo,Não,Brasil,Centro,Sim,0,Não,Não,Auge
213,163,1,1974,Meio-campista,Meia-atacante,Palmeiras,Não,Brasil,Centro,Sim,0,Não,Não,Auge
214,129,1,1974,Atacante,Ponta,Botafogo,Não,Brasil,Centro,Sim,2,Não,Não,Experiente
215,164,1,1974,Atacante,Ponta,Internacional,Não,Brasil,Direito,Sim,1,Não,Não,Auge
216,165,1,1974,Meio-campista,Meio-campista,Botafogo,Não,Brasil,Esquerdo,Sim,0,Não,Não,Sub-23
217,166,1,1974,Atacante,Centroavante,São Paulo,Não,Brasil,Centro,Sim,0,Não,Não,Sub-23
218,132,1,1974,Atacante,Ponta,Santos,Não,Brasil,Esquerdo,Não,0,Não,Não,Auge
219,167,1,1974,Atacante,Centroavante,Palmeiras,Não,Brasil,Centro,Não,0,Não,Não,Auge
220,138,1,1978,Goleiro,Goleiro,Palmeiras,Sim,Brasil,Centro,Sim,0,Não,Não,Auge
221,168,1,1978,Goleiro,Goleiro,Ponte Preta,Não,Brasil,Centro,Não,0,Não,Não,Sub-23
222,169,1,1978,Goleiro,Goleiro,São Paulo,Não,Brasil,Centro,Não,0,Não,Não,Auge
223,170,1,1978,Defensor,Zagueiro,Ponte Preta,Não,Brasil,Centro,Sim,0,Não,Não,Auge
224,171,1,1978,Defensor,Zagueiro,Corinthians,Não,Brasil,Centro,Sim,0,Não,Não,Auge
225,172,1,1978,Defensor,Zagueiro,Fluminense,Não,Brasil,Centro,Sim,0,Não,Não,Auge
226,173,1,1978,Defensor,Zagueiro,Vasco da Gama,Não,Brasil,Centro,Não,0,Não,Não,Auge
227,174,1,1978,Defensor,Lateral,Flamengo,Não,Brasil,Direito,Sim,0,Não,Não,Experiente
228,156,1,1978,Defensor,Lateral,Cruzeiro,Não,Brasil,Direito,Sim,1,Não,Não,Auge
229,175,1,1978,Defensor,Lateral,Botafogo,Não,Brasil,Esquerdo,Sim,0,Não,Não,Auge
230,157,1,1978,Defensor,Lateral,Corinthians,Não,Brasil,Direito,Não,0,Não,Não,Auge
231,176,1,1978,Meio-campista,Volante,São Paulo,Não,Brasil,Centro,Sim,0,Não,Não,Auge
232,177,1,1978,Meio-campista,Volante,Internacional,Não,Brasil,Centro,Sim,0,Não,Não,Auge
233,178,1,1978,Meio-campista,Volante,Atlético Mineiro,Não,Brasil,Centro,Sim,0,Não,Não,Auge
234,179,1,1978,Meio-campista,Meio-campista,Flamengo,Não,Brasil,Centro,Sim,1,Não,Não,Auge
235,180,1,1978,Meio-campista,Meia-atacante,Palmeiras,Não,Brasil,Centro,Sim,1,Não,Não,Auge
236,148,1,1978,Meio-campista,Meio-campista,Fluminense,Não,Brasil,Esquerdo,Sim,0,Não,Não,Experiente
237,165,1,1978,Meio-campista,Meio-campista,Vasco da Gama,Não,Brasil,Esquerdo,Sim,3,Não,Sim,Auge
238,181,1,1978,Atacante,Centroavante,Atlético Mineiro,Não,Brasil,Centro,Sim,1,Não,Não,Sub-23
239,182,1,1978,Atacante,Centroavante,Vasco da Gama,Não,Brasil,Centro,Sim,3,Não,Sim,Auge
240,183,1,1978,Atacante,Ponta,Botafogo,Não,Brasil,Direito,Sim,0,Não,Não,Auge
241,184,1,1978,Atacante,Ponta,São Paulo,Não,Brasil,Esquerdo,Sim,0,Não,Não,Sub-23
242,169,1,1982,Goleiro,Goleiro,São Paulo,Não,Brasil,Centro,Sim,0,Não,Não,Experiente
243,168,1,1982,Goleiro,Goleiro,Ponte Preta,Não,Brasil,Centro,Não,0,Não,Não,Auge
244,185,1,1982,Goleiro,Goleiro,Botafogo,Não,Brasil,Centro,Não,0,Não,Não,Auge
245,170,1,1982,Defensor,Zagueiro,São Paulo,Não,Brasil,Centro,Sim,1,Não,Não,Auge
